sim,method_2_lb,method_2_ub,method_3_lb,method_3_ub
352,-2.60579725315342,2.32810247831728,-2.55749135568133,2.54542533282154
353,-1.90680502953328,2.53311396966266,-2.57749058353672,2.60102590903596
354,-2.60010301542063,2.63937028048568,-2.55011812165056,2.58926038129646
355,-2.21118208273809,1.94257453925222,-2.56553109048,2.54154699105231
356,-2.35650692142441,1.79225097805544,-2.55233715617577,2.58302710856679
357,-3.02613672131864,2.88677314094844,-2.51398815249645,2.50822587895335
358,-2.92925440803025,2.35000763479499,-2.55078711203434,2.56691670354358
359,-2.53530961868376,1.89751941644502,-2.56528752746772,2.61092329823001
360,-1.91733834436621,2.55672793533725,-2.5938271471622,2.59692791808491
361,-2.69104730117093,2.68827825110363,-2.57516848080206,2.59931472947334
362,-2.77026903118249,2.42520297462967,-2.61915444886946,2.6390249931683
363,-2.78860708785756,2.60801702688543,-2.65717413959452,2.57742852048814
364,-2.712385337346,2.55902711730161,-2.60973792996438,2.5470207959792
365,-2.37844140925858,2.29344331618979,-2.5518089033137,2.5669405604272
366,-2.12689279700999,2.13853878277187,-2.57443366832128,2.51035980204149
367,-3.33592957037306,2.6482939605439,-2.6105511874127,2.55329645585909
368,-2.23683673882171,2.26429599849272,-2.58470961065362,2.60799196448136
369,-2.20625889963367,2.26879861782579,-2.59175159865576,2.57858088691807
370,-2.14359655133085,2.34633385964218,-2.59718961518163,2.55743299844258
371,-3.22128432223169,3.1344390631848,-2.60235000960455,2.53927009847835
372,-3.68843197499366,3.36405489915317,-2.56889641174957,2.49312322090345
373,-2.35925021331992,2.44361092590159,-2.52026598584475,2.52258604863801
374,-2.66924337556437,2.49141118098713,-2.63329480071347,2.5854360281328
375,-2.13454070064606,2.11796489404581,-2.65760342864669,2.59898662977681
376,-2.73419725090549,2.6183906323699,-2.53909862499345,2.55439676743647
377,-2.05247309931449,2.19154425898444,-2.56031436211726,2.55911247274118
378,-2.18896017364134,2.05842262155225,-2.61740225012302,2.59084217797051
379,-2.37898404713034,2.1066805460464,-2.59269972805569,2.54342946896714
380,-2.87754182253881,2.5584143232619,-2.54854800056743,2.58466468877228
381,-1.90699259084948,2.44381132957802,-2.60535300162721,2.56751741277252
382,-1.85268068381415,1.94104883928561,-2.58428654109721,2.57381704586837
383,-2.45576865030957,3.07468641143438,-2.58117241485326,2.53179928415293
384,-2.29319965670678,2.63135079407277,-2.59999241828521,2.50967115989117
385,-2.87531959059925,2.67502185638407,-2.58920590488093,2.57355598628965
